epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,603.711,1.31872,0.66645,0.84873,0.89297,0.9115,0.96261,0.59122,1.41818,0.66552,0.87769,0.0008648,0.0008648,0.0008648
88,610.521,1.30063,0.66303,0.84476,0.92747,0.90529,0.96051,0.57154,1.4755,0.68693,0.88645,0.0008516,0.0008516,0.0008516
89,617.314,1.36223,0.68121,0.85199,0.89664,0.95575,0.96042,0.57869,1.36116,0.69549,0.89057,0.0008384,0.0008384,0.0008384
90,624.107,1.39572,0.68067,0.84749,0.90146,0.88496,0.93829,0.58122,1.30943,0.66512,0.87375,0.0008252,0.0008252,0.0008252
91,630.89,1.32815,0.65588,0.8523,0.90069,0.87611,0.94731,0.56335,1.40537,0.68489,0.88465,0.000812,0.000812,0.000812
92,637.708,1.36053,0.66442,0.82597,0.92388,0.88496,0.9616,0.5977,1.36986,0.68263,0.87533,0.0007988,0.0007988,0.0007988
93,644.538,1.30437,0.65088,0.83847,0.93157,0.89381,0.95306,0.60317,1.28191,0.66429,0.87668,0.0007856,0.0007856,0.0007856
94,651.427,1.38217,0.66564,0.84174,0.88185,0.92477,0.95547,0.58301,1.34733,0.66339,0.90727,0.0007724,0.0007724,0.0007724
95,658.236,1.34667,0.6363,0.86024,0.86093,0.87652,0.95762,0.59267,1.30021,0.67407,0.87193,0.0007592,0.0007592,0.0007592
96,665.033,1.2977,0.63303,0.8521,0.89691,0.84699,0.92036,0.53602,1.41849,0.71976,0.88674,0.000746,0.000746,0.000746
97,671.85,1.35212,0.65329,0.86885,0.87677,0.90265,0.93475,0.5656,1.35505,0.67559,0.86619,0.0007328,0.0007328,0.0007328
98,678.637,1.28642,0.63344,0.83829,0.86244,0.89381,0.92827,0.56373,1.36901,0.69894,0.88596,0.0007196,0.0007196,0.0007196
99,685.443,1.26216,0.63972,0.82403,0.89294,0.95953,0.96662,0.57444,1.34815,0.66946,0.86867,0.0007064,0.0007064,0.0007064
100,692.227,1.28513,0.63766,0.86074,0.9298,0.9292,0.96943,0.58615,1.34116,0.65408,0.87254,0.0006932,0.0006932,0.0006932
101,699.027,1.28842,0.63789,0.83866,0.92761,0.88496,0.9624,0.59949,1.32773,0.63982,0.86648,0.00068,0.00068,0.00068
102,705.829,1.34835,0.6586,0.83411,0.87738,0.9292,0.95321,0.59717,1.34179,0.64567,0.87371,0.0006668,0.0006668,0.0006668
103,712.701,1.29264,0.64575,0.82645,0.90675,0.93805,0.95902,0.56275,1.43221,0.673,0.89062,0.0006536,0.0006536,0.0006536
104,719.581,1.32177,0.62964,0.83553,0.88313,0.9292,0.95407,0.57073,1.38792,0.6641,0.88442,0.0006404,0.0006404,0.0006404
105,726.371,1.31891,0.6406,0.81105,0.89874,0.9469,0.96162,0.58618,1.41588,0.6604,0.88195,0.0006272,0.0006272,0.0006272
106,733.287,1.3002,0.63538,0.81744,0.91723,0.93805,0.96897,0.60291,1.34385,0.62937,0.87232,0.000614,0.000614,0.000614
107,740.212,1.30084,0.61412,0.84841,0.90811,0.90265,0.96855,0.60269,1.29918,0.62293,0.86105,0.0006008,0.0006008,0.0006008
108,747.007,1.22235,0.60879,0.83129,0.90313,0.93805,0.97029,0.61532,1.26453,0.62868,0.86227,0.0005876,0.0005876,0.0005876
109,754.101,1.27737,0.61519,0.81146,0.87514,0.9646,0.95745,0.60772,1.2735,0.63214,0.86642,0.0005744,0.0005744,0.0005744
110,760.902,1.28786,0.64343,0.84136,0.93427,0.93805,0.96397,0.58262,1.35005,0.65594,0.86841,0.0005612,0.0005612,0.0005612
111,767.677,1.29415,0.60222,0.81552,0.91278,0.89381,0.95908,0.57735,1.34875,0.64996,0.86532,0.000548,0.000548,0.000548
112,774.499,1.22571,0.61665,0.82574,0.83185,0.96318,0.96249,0.59101,1.24049,0.64204,0.86012,0.0005348,0.0005348,0.0005348
113,781.293,1.29106,0.61722,0.84375,0.90467,0.89381,0.96764,0.59602,1.27744,0.6248,0.86591,0.0005216,0.0005216,0.0005216
114,788.242,1.24389,0.60039,0.82403,0.92845,0.91866,0.96635,0.59724,1.28302,0.61382,0.87094,0.0005084,0.0005084,0.0005084
115,795.262,1.25908,0.59773,0.82343,0.92927,0.9469,0.96543,0.56202,1.40687,0.63245,0.87549,0.0004952,0.0004952,0.0004952
116,802.08,1.26751,0.61712,0.81147,0.92231,0.94549,0.95875,0.60413,1.26866,0.61558,0.8681,0.000482,0.000482,0.000482
117,809.098,1.2149,0.59482,0.83134,0.9588,0.9469,0.97887,0.61345,1.25529,0.60903,0.862,0.0004688,0.0004688,0.0004688
118,815.959,1.18388,0.58924,0.82483,0.94804,0.9646,0.97374,0.61004,1.31302,0.62462,0.87171,0.0004556,0.0004556,0.0004556
119,822.809,1.25241,0.60872,0.8461,0.89853,0.94033,0.96288,0.61938,1.24841,0.60262,0.86234,0.0004424,0.0004424,0.0004424
120,829.649,1.3323,0.61219,0.8215,0.9217,0.9375,0.95412,0.59959,1.26514,0.60638,0.86368,0.0004292,0.0004292,0.0004292
121,836.454,1.18298,0.59996,0.84422,0.93513,0.90265,0.95707,0.59689,1.25501,0.61528,0.86094,0.000416,0.000416,0.000416
122,843.282,1.27495,0.60633,0.83023,0.94937,0.9115,0.96524,0.60017,1.28228,0.61559,0.86346,0.0004028,0.0004028,0.0004028
123,850.075,1.25661,0.61779,0.8209,0.91601,0.9292,0.96983,0.61928,1.2563,0.61073,0.86283,0.0003896,0.0003896,0.0003896
124,856.863,1.21816,0.61167,0.81867,0.94527,0.9115,0.97352,0.62713,1.23141,0.60136,0.85518,0.0003764,0.0003764,0.0003764
125,863.719,1.24624,0.59775,0.81755,0.92958,0.93459,0.97184,0.63555,1.22275,0.60276,0.85999,0.0003632,0.0003632,0.0003632
126,870.587,1.21668,0.58204,0.82285,0.9249,0.95575,0.96817,0.60265,1.33748,0.60764,0.8719,0.00035,0.00035,0.00035
127,877.594,1.19492,0.57737,0.83079,0.92238,0.94644,0.96626,0.61262,1.25707,0.60887,0.86035,0.0003368,0.0003368,0.0003368
128,884.674,1.187,0.57564,0.81795,0.92479,0.92035,0.97199,0.61138,1.28893,0.6024,0.8572,0.0003236,0.0003236,0.0003236
129,891.477,1.18657,0.59546,0.80497,0.90205,0.9469,0.96804,0.58779,1.31821,0.61697,0.85725,0.0003104,0.0003104,0.0003104
130,898.271,1.23168,0.59929,0.83827,0.91822,0.93805,0.97262,0.60017,1.29096,0.60874,0.85237,0.0002972,0.0002972,0.0002972
131,905.063,1.18753,0.56481,0.80177,0.87144,0.95984,0.96022,0.60596,1.24301,0.58922,0.85628,0.000284,0.000284,0.000284
132,911.971,1.19958,0.58531,0.81709,0.93594,0.93805,0.97415,0.61374,1.25707,0.6049,0.86398,0.0002708,0.0002708,0.0002708
133,918.759,1.19056,0.58258,0.82105,0.89389,0.92035,0.96211,0.62501,1.22946,0.59631,0.86422,0.0002576,0.0002576,0.0002576
134,925.573,1.22077,0.6032,0.81903,0.88128,0.95575,0.96305,0.61272,1.27871,0.59442,0.86894,0.0002444,0.0002444,0.0002444
135,932.355,1.21858,0.59462,0.82447,0.92816,0.91467,0.97037,0.60977,1.29176,0.61539,0.86441,0.0002312,0.0002312,0.0002312
136,939.17,1.20712,0.57127,0.8001,0.8849,0.95252,0.95986,0.5815,1.35527,0.62554,0.87099,0.000218,0.000218,0.000218
137,945.972,1.17643,0.58168,0.82467,0.87032,0.9646,0.96491,0.62783,1.21658,0.60546,0.8596,0.0002048,0.0002048,0.0002048
138,952.749,1.20531,0.57765,0.80898,0.93556,0.8994,0.96972,0.61496,1.24611,0.60123,0.86065,0.0001916,0.0001916,0.0001916
139,959.557,1.19719,0.58687,0.81696,0.89884,0.94361,0.97257,0.6153,1.25176,0.60124,0.85842,0.0001784,0.0001784,0.0001784
140,966.475,1.24341,0.61636,0.81681,0.90717,0.95136,0.96968,0.60365,1.26802,0.60415,0.85969,0.0001652,0.0001652,0.0001652
141,975.401,1.01197,0.54602,0.82771,0.91167,0.9292,0.9657,0.60095,1.2809,0.60909,0.85617,0.000152,0.000152,0.000152
142,982.456,1.1482,0.56114,0.80761,0.87014,0.94881,0.96777,0.59045,1.32399,0.61957,0.86005,0.0001388,0.0001388,0.0001388
143,989.274,1.08482,0.54123,0.82312,0.864,0.95578,0.9662,0.60289,1.23353,0.60287,0.85223,0.0001256,0.0001256,0.0001256
144,996.071,1.01269,0.54111,0.82358,0.88154,0.92035,0.96573,0.61154,1.21667,0.59413,0.85425,0.0001124,0.0001124,0.0001124
145,1002.83,1.05808,0.52764,0.80912,0.91238,0.92147,0.96881,0.61517,1.20628,0.57745,0.85408,9.92e-05,9.92e-05,9.92e-05
146,1009.62,1.05383,0.54014,0.82707,0.91354,0.93805,0.97243,0.60136,1.24307,0.59364,0.86036,8.6e-05,8.6e-05,8.6e-05
147,1016.4,1.06946,0.53268,0.80593,0.91306,0.92943,0.97179,0.5997,1.26225,0.60174,0.86043,7.28e-05,7.28e-05,7.28e-05
148,1023.18,1.06456,0.52014,0.81023,0.90921,0.92035,0.96802,0.60721,1.22635,0.59048,0.85957,5.96e-05,5.96e-05,5.96e-05
149,1029.98,1.07767,0.5497,0.83257,0.92791,0.9115,0.969,0.60882,1.22628,0.58287,0.85989,4.64e-05,4.64e-05,4.64e-05
150,1036.91,1.07796,0.52833,0.81678,0.94453,0.90421,0.97095,0.60597,1.23209,0.57947,0.86002,3.32e-05,3.32e-05,3.32e-05
